order,edge probability,query execution time,found,timestamp
10,0.1,12,false,15:19:55
10,0.1,12,true,15:19:55
10,0.1,12,true,15:19:55
10,0.1,13,true,15:19:55
20,0.1,12,false,15:20:00
20,0.1,11,false,15:20:06
20,0.1,12,true,15:20:06
20,0.1,11,true,15:20:06
30,0.1,12,true,15:20:06
30,0.1,11,true,15:20:06
30,0.1,13,true,15:20:06
30,0.1,11,true,15:20:06
40,0.1,11,true,15:20:07
40,0.1,11,true,15:20:07
40,0.1,12,true,15:20:07
40,0.1,11,true,15:20:07
50,0.1,11,true,15:20:07
50,0.1,11,true,15:20:07
50,0.1,11,true,15:20:07
50,0.1,11,true,15:20:07
60,0.1,11,true,15:20:09
60,0.1,11,true,15:20:09
60,0.1,12,true,15:20:09
60,0.1,10,true,15:20:09
70,0.1,11,true,15:20:10
70,0.1,12,true,15:20:10
70,0.1,11,true,15:20:10
70,0.1,11,true,15:20:10
80,0.1,11,true,15:20:12
80,0.1,11,true,15:20:12
80,0.1,11,true,15:20:12
80,0.1,11,true,15:20:12
90,0.1,12,true,15:20:15
90,0.1,13,true,15:20:15
90,0.1,11,true,15:20:15
90,0.1,12,true,15:20:15
100,0.1,11,true,15:20:19
100,0.1,11,true,15:20:19
100,0.1,11,true,15:20:19
100,0.1,11,true,15:20:19
110,0.1,12,true,15:20:23
110,0.1,11,true,15:20:23
110,0.1,13,true,15:20:23
110,0.1,11,true,15:20:23
120,0.1,11,true,15:20:28
120,0.1,11,true,15:20:28
120,0.1,12,true,15:20:29
120,0.1,11,true,15:20:29
130,0.1,12,true,15:20:35
130,0.1,11,true,15:20:35
130,0.1,11,true,15:20:35
130,0.1,13,true,15:20:35
140,0.1,11,true,15:20:42
140,0.1,11,true,15:20:42
140,0.1,11,true,15:20:42
140,0.1,12,true,15:20:42
150,0.1,11,true,15:20:51
150,0.1,11,true,15:20:51
150,0.1,11,true,15:20:51
150,0.1,12,true,15:20:51
10,0.2,11,true,15:20:51
10,0.2,10,true,15:20:51
10,0.2,11,true,15:20:51
10,0.2,11,true,15:20:51
20,0.2,11,true,15:20:52
20,0.2,11,true,15:20:52
20,0.2,11,true,15:20:52
20,0.2,11,true,15:20:52
30,0.2,11,true,15:20:52
30,0.2,11,true,15:20:52
30,0.2,11,true,15:20:52
30,0.2,11,true,15:20:52
40,0.2,11,true,15:20:53
40,0.2,11,true,15:20:53
40,0.2,11,true,15:20:53
40,0.2,11,true,15:20:54
50,0.2,11,true,15:20:55
50,0.2,11,true,15:20:55
50,0.2,11,true,15:20:55
50,0.2,11,true,15:20:55
60,0.2,12,true,15:20:57
60,0.2,12,true,15:20:57
