order,edge probability,query execution time,found,timestamp
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
2,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
3,-1,1,true,10:24:04
4,-1,2,true,10:24:04
4,-1,1,true,10:24:04
4,-1,2,true,10:24:04
4,-1,2,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,2,true,10:24:04
4,-1,2,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
4,-1,2,true,10:24:04
4,-1,1,true,10:24:04
4,-1,1,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
5,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
6,-1,2,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,2,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,2,true,10:24:04
7,-1,2,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
7,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,4,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
8,-1,3,true,10:24:04
9,-1,4,true,10:24:04
9,-1,4,true,10:24:04
9,-1,4,true,10:24:04
9,-1,4,true,10:24:04
9,-1,4,true,10:24:04
9,-1,5,true,10:24:04
9,-1,4,true,10:24:04
9,-1,4,true,10:24:04
9,-1,5,true,10:24:04
9,-1,5,true,10:24:04
9,-1,5,true,10:24:04
