order,edge probability,query execution time,found,timestamp
2,0.1,71,false,12:36:17
2,0.1,72,false,12:36:17
2,0.1,63,false,12:36:17
2,0.1,5,false,12:36:17
3,0.1,51,false,12:36:17
3,0.1,60,false,12:36:17
3,0.1,52,false,12:36:17
3,0.1,54,false,12:36:18
4,0.1,79,false,12:36:18
4,0.1,44,false,12:36:18
4,0.1,45,false,12:36:18
4,0.1,45,false,12:36:18
5,0.1,42,false,12:36:18
5,0.1,40,false,12:36:18
5,0.1,37,false,12:36:18
5,0.1,41,false,12:36:18
6,0.1,40,false,12:36:19
6,0.1,39,false,12:36:19
6,0.1,42,false,12:36:19
6,0.1,43,true,12:36:19
7,0.1,37,false,12:36:19
7,0.1,39,false,12:36:19
7,0.1,39,true,12:36:19
7,0.1,39,false,12:36:19
8,0.1,39,false,12:36:19
8,0.1,37,false,12:36:19
8,0.1,39,false,12:36:20
8,0.1,40,false,12:36:20
9,0.1,35,false,12:36:20
9,0.1,34,false,12:36:20
9,0.1,32,false,12:36:20
9,0.1,38,true,12:36:20
10,0.1,33,false,12:36:20
10,0.1,31,false,12:36:20
10,0.1,35,false,12:36:20
10,0.1,31,false,12:36:20
11,0.1,111,true,12:36:21
11,0.1,41,true,12:36:21
11,0.1,42,true,12:36:21
11,0.1,31,false,12:36:21
12,0.1,30,false,12:36:22
12,0.1,32,false,12:36:22
12,0.1,32,true,12:36:22
12,0.1,32,false,12:36:22
13,0.1,417,true,12:36:23
13,0.1,timeout,false,12:41:24
13,0.1,222,true,12:41:24
13,0.1,185,true,12:41:24
14,0.1,28,false,12:41:24
14,0.1,28,false,12:41:24
14,0.1,29,true,12:41:24
14,0.1,30,true,12:41:24
15,0.1,30,true,12:41:25
15,0.1,30,true,12:41:25
15,0.1,43,false,12:41:25
15,0.1,30,true,12:41:25
16,0.1,37,true,12:41:25
16,0.1,29,false,12:41:25
16,0.1,4883,false,12:41:30
16,0.1,42,false,12:41:30
17,0.1,12538,true,12:46:43
17,0.1,timeout,false,12:51:43
17,0.1,171534,true,12:54:35
17,0.1,timeout,false,12:59:35
18,0.1,timeout,false,13:09:37
18,0.1,timeout,false,13:14:38
18,0.1,timeout,false,13:19:39
18,0.1,28,true,13:19:40
19,0.1,27,true,13:19:42
19,0.1,timeout,false,13:24:42
19,0.1,10924,false,13:24:53
19,0.1,5585,true,13:24:59
20,0.1,timeout,false,13:35:00
20,0.1,timeout,false,13:40:01
20,0.1,timeout,false,13:45:02
20,0.1,timeout,false,13:50:03
2,0.2,116,false,13:50:04
2,0.2,27,false,13:50:04
2,0.2,25,false,13:50:04
2,0.2,3,false,13:50:04
3,0.2,26,false,13:50:04
3,0.2,25,false,13:50:04
3,0.2,3,false,13:50:04
3,0.2,3,false,13:50:04
4,0.2,25,false,13:50:04
4,0.2,28,false,13:50:04
4,0.2,29,false,13:50:04
4,0.2,29,false,13:50:04
5,0.2,26,true,13:50:04
5,0.2,25,true,13:50:04
5,0.2,26,true,13:50:05
5,0.2,26,true,13:50:05
6,0.2,970,true,13:50:06
6,0.2,118,true,13:50:06
6,0.2,52,true,13:50:06
6,0.2,2429,true,13:50:08
7,0.2,25,false,13:50:09
7,0.2,24,true,13:50:09
7,0.2,25,true,13:50:09
7,0.2,23,false,13:50:09
8,0.2,25,false,13:50:09
8,0.2,24,true,13:50:09
8,0.2,24,false,13:50:09
8,0.2,24,false,13:50:09
9,0.2,23,false,13:50:09
9,0.2,4,true,13:50:09
