order,edge probability,query execution time,found
10,0.1,5,true
10,0.1,4,true
10,0.1,3,true
10,0.1,3,true
20,0.1,7,true
20,0.1,5,true
20,0.1,5,true
20,0.1,5,true
30,0.1,11,true
30,0.1,10,true
30,0.1,11,true
30,0.1,10,true
40,0.1,21,true
40,0.1,20,true
40,0.1,17,true
40,0.1,16,true
50,0.1,20,true
50,0.1,19,true
50,0.1,20,true
50,0.1,19,true
60,0.1,34,true
60,0.1,35,true
60,0.1,34,true
60,0.1,34,true
70,0.1,49,true
70,0.1,49,true
70,0.1,49,true
70,0.1,49,true
80,0.1,65,true
80,0.1,65,true
80,0.1,65,true
80,0.1,66,true
90,0.1,90,true
90,0.1,90,true
90,0.1,90,true
90,0.1,90,true
100,0.1,110,true
100,0.1,110,true
100,0.1,110,true
100,0.1,110,true
110,0.1,190,true
110,0.1,190,true
110,0.1,189,true
110,0.1,190,true
120,0.1,236,true
120,0.1,235,true
120,0.1,236,true
120,0.1,235,true
130,0.1,265,true
130,0.1,265,true
130,0.1,264,true
130,0.1,266,true
140,0.1,338,true
140,0.1,341,true
140,0.1,341,true
140,0.1,341,true
150,0.1,407,true
150,0.1,405,true
150,0.1,405,true
150,0.1,600,true
10,0.2,2,true
10,0.2,2,true
10,0.2,2,true
10,0.2,3,true
20,0.2,8,true
20,0.2,7,true
20,0.2,7,true
20,0.2,7,true
30,0.2,20,true
30,0.2,21,true
30,0.2,20,true
30,0.2,20,true
40,0.2,36,true
40,0.2,37,true
40,0.2,36,true
40,0.2,37,true
50,0.2,77,true
50,0.2,78,true
50,0.2,78,true
50,0.2,78,true
60,0.2,122,true
60,0.2,122,true
60,0.2,121,true
60,0.2,122,true
70,0.2,190,true
70,0.2,190,true
70,0.2,190,true
70,0.2,189,true
80,0.2,304,true
80,0.2,310,true
80,0.2,306,true
80,0.2,305,true
90,0.2,625,true
90,0.2,395,true
90,0.2,395,true
90,0.2,394,true
100,0.2,562,true
100,0.2,565,true
100,0.2,564,true
100,0.2,564,true
110,0.2,768,true
110,0.2,929,true
110,0.2,767,true
110,0.2,770,true
120,0.2,998,true
120,0.2,1000,true
120,0.2,1159,true
120,0.2,992,true
130,0.2,1509,true
130,0.2,1327,true
130,0.2,1336,true
130,0.2,1331,true
140,0.2,1615,true
140,0.2,1795,true
140,0.2,1615,true
140,0.2,1614,true
150,0.2,2251,true
150,0.2,2067,true
150,0.2,2060,true
150,0.2,2061,true
10,0.3,3,true
10,0.3,3,true
10,0.3,3,true
10,0.3,3,true
20,0.3,13,true
20,0.3,13,true
20,0.3,14,true
20,0.3,14,true
30,0.3,43,true
30,0.3,44,true
30,0.3,44,true
30,0.3,44,true
40,0.3,82,true
40,0.3,81,true
